ID,X,Y,No.Grains,Length,Width,Area,Primeter,Circularity,Compactness,Ellipticity,AR
54,1508,662,1.0,0.21,0.21,2.21,0.67,0.9,1.0,1.0,1.0
55,1262,1163,1.0,0.38,0.24,5.38,1.1,0.82,0.89,0.97,1.57
56,1182,375,1.0,0.25,0.21,2.87,0.76,0.92,0.99,1.0,1.21
57,1885,574,2.0,0.92,0.24,12.53,2.38,0.41,0.41,0.8,3.85
58,2018,286,1.0,0.48,0.27,7.34,1.3,0.81,0.85,0.99,1.78
59,636,1571,1.0,0.43,0.25,6.06,1.18,0.8,0.85,0.99,1.73
60,338,935,1.0,0.56,0.27,8.6,1.46,0.75,0.76,0.98,2.1
61,262,1057,1.0,0.58,0.29,9.4,1.54,0.73,0.78,0.98,2.03
62,361,1623,1.0,0.22,0.22,2.66,0.73,0.93,1.0,1.0,1.0
63,1867,1752,2.0,1.02,0.27,16.87,2.58,0.47,0.47,0.86,3.7
64,244,1101,1.0,0.54,0.27,8.51,1.42,0.78,0.79,0.98,2.05
65,1817,1855,1.0,0.47,0.29,7.59,1.3,0.82,0.89,0.99,1.61
66,1924,105,7.0,2.8,0.4,49.75,7.01,0.19,0.18,0.51,7.03
67,314,906,1.0,0.35,0.2,4.29,1.0,0.8,0.87,0.98,1.71
68,345,1672,1.0,0.28,0.24,3.9,0.87,0.94,0.99,1.0,1.19
69,755,1434,1.0,0.6,0.29,9.9,1.56,0.76,0.78,0.99,2.08
